NAME,EBIT(t-1),PB(t-1),QR(t-1),DA(t-1),TATO(t-1),ROS(t-1),OCFTD(t-1),EBIT(t-2),PB(t-2),QR(t-2),DA(t-2),TATO(t-2),ROS(t-2),OCFTD(t-2)
PVD,29.51,0.7,1.65,32,0.26,-2.85,-1.26,171.78,0.9,1.54,33.38,0.19,0.92,-5.43
PVT,1671.32,0.89,2,43.77,0.68,12.78,34.82,1182.89,1.12,1.92,44.26,0.63,11.19,14.98
QBS,-22.68,0.23,6.52,13.85,0.37,-12.3,-110.06,49.54,0.93,1.63,51.06,1.23,0.01,-15.76
QCG,101.35,0.25,0.12,56.37,0.13,2.67,1.28,123.53,1,0.07,56.12,0.1,6.7,0.85
RAL,694.14,0.67,1.3,60.76,1.14,7.04,-22.61,554.51,1.19,1.07,74.61,1.21,6.98,-5.92
RDP,117.21,0.5,0.51,72.04,1.21,0.68,-8.07,142.75,1.22,0.5,77.26,1.23,1.39,-0.28
REE,4761.31,1.32,1.75,43.38,0.29,37.51,10.67,3063.04,1.31,1.48,48.6,0.22,36.76,9.86
S4A,209.4,2.28,0.73,36.82,0.31,56.26,55.57,177.6,2.11,0.54,41.47,0.28,49.34,48.32
SAB,6858.93,4.35,2.68,28.65,1.08,15.72,44.34,4905.63,4.29,2.92,25.89,0.91,14.9,44.57
SAM,130.09,0.5,1.11,36.38,0.29,0.35,12.6,251.15,1.96,1.4,39.07,0.29,8.47,-35.42
SAV,69.81,0.71,1.89,33.8,1.72,5.51,36.08,56.85,1.32,1.36,44.33,1.76,4.27,10.3
SBA,287.46,1.45,1.2,28.38,0.38,49.34,68.87,158.05,1.37,0.8,33.98,0.24,37.21,36.88
SBV,36.04,0.59,1.1,40.61,0.52,2.84,9.89,79.28,0.89,1.2,41.24,0.57,9.98,10.62
SC5,58.4,0.76,0.74,86.02,1.09,0.86,0.23,73.39,0.95,0.72,85.45,0.76,1.96,6.49
SCD,-33.67,1.62,0.39,82,0.35,-28.8,-13.71,-21.69,1.15,1.99,57.91,0.34,-27.02,-16.16
SCR,389.49,0.43,0.95,47.71,0.09,6.28,-6.98,586.81,1.55,1.14,48.63,0.16,11.54,19.22
SCS,696.6,4.91,8.51,7.84,0.57,75.93,482.67,605.28,6.5,5.18,11.74,0.67,67.17,355.67
