NAME,EBIT(t-1),PB(t-1),QR(t-1),DA(t-1),TATO(t-1),ROS(t-1),OCFTD(t-1),EBIT(t-2),PB(t-2),QR(t-2),DA(t-2),TATO(t-2),ROS(t-2),OCFTD(t-2),TARGET
DHM,76,1.1,1.1,35.63,2.6,4.87,9.42,-69,1.1,0.5,46.44,1.75,-8.7,6.64,0
DIG,937,2.3,0.5,59.5,0.21,29.03,-7.16,508,1.4,0.9,51.09,0.26,17.58,-5.85,0
DIG,1378,6.5,1.6,54.46,0.15,38.54,-21.43,937,2.3,0.5,59.5,0.21,29.03,-7.16,0
DLG,-423,0.2,0.7,69.54,0.25,-45.72,5.5,401,0.2,1.2,60.17,0.33,-0.24,6.54,1
DLG,401,1.3,0.7,67.21,0.22,0.78,5.3,-423,0.2,0.7,69.54,0.25,-45.72,5.5,1
DMC,225,1.5,6.7,10.18,0.99,12.4,-30.2,292,1.8,3.9,18.33,0.96,15.87,39.5,0
DMC,199,1.3,4.2,15.78,0.92,10.61,63.28,225,1.5,6.7,10.18,0.99,12.4,-30.2,0
DPG,484,1.4,0.7,70.83,0.44,11.14,3.6,496,1.9,0.8,75.69,0.39,11.3,12.34,0
DPG,685,3.4,0.9,70.06,0.43,17.64,17.58,484,1.4,0.7,70.83,0.44,11.14,3.6,0
DPM,936,0.8,2.4,27.01,0.69,9.04,25.79,574,0.5,2.2,28.66,0.67,5.06,53.64,0
DPM,3868,1.5,3.1,23.03,0.92,24.81,78.5,936,0.8,2.4,27.01,0.69,9.04,25.79,0
DPR,283,1,1.9,38.41,0.3,18.63,5.93,262,0.9,2.2,39.04,0.28,18.49,25.43,0
DPR,582,1.4,3,31.99,0.3,38.87,54.81,283,1,1.9,38.41,0.3,18.63,5.93,0
DQC,27,0.5,1.4,34.47,0.67,1.91,10.08,42,0.4,1.6,35.29,0.55,3.64,4.15,0
DQC,29,0.9,1.3,33.05,0.52,3.13,-7.73,27,0.5,1.4,34.47,0.67,1.91,10.08,0
DRC,341,1.5,0.7,30.56,1.5,7.02,114.8,353,1.5,0.2,39.73,1.42,6.51,37.73,0
DRC,373,2.1,0.5,43.43,1.4,6.64,-4.99,341,1.5,0.7,30.56,1.5,7.02,114.8,0
DRH,66,1.2,0.6,65.97,0.03,65.38,-7.58,93,0.3,0.5,65.41,0.16,15.03,17.56,0
DRH,69,3.2,0.5,68.48,0.03,17.33,-0.16,66,1.2,0.6,65.97,0.03,65.38,-7.58,0
DRL,64,3.3,9.4,7.48,0.66,60.82,500,59,4,3.4,19.85,0.66,62.22,200,0
DRL,63,4.5,7.6,8.89,0.71,58.33,441.67,64,3.3,9.4,7.48,0.66,60.82,500,0
DSN,48,2.6,15.7,8.04,0.38,48.81,-61.11,120,2.6,9.7,10.14,0.79,43.38,257.14,0
DSN,29,3.3,10.7,8.96,0.12,96,77.78,48,2.6,15.7,8.04,0.38,48.81,-61.11,0
DTA,0,0.5,0.8,65.61,0.08,-9.3,9.4,11,0.5,0.8,59.48,0.11,11.32,-2.17,0
DTA,17,2.2,0.6,71,0.16,9.17,2.11,0,0.5,0.8,65.61,0.08,-9.3,9.4,0
DTL,99,0.7,0.2,58.38,0.82,1.06,29.48,-51,1.5,0.2,64.59,0.9,-5.57,4.38,0
DTL,94,2.6,0.2,43.61,0.73,4.06,60.02,99,0.7,0.2,58.38,0.82,1.06,29.48,0
DTT,12,0.8,1.4,26.19,0.93,5.73,77.27,11,0.8,1.2,27.81,0.99,4.19,68.09,0
DTT,6,1.2,1.3,20.39,1.03,1.91,12.9,12,0.8,1.4,26.19,0.93,5.73,77.27,0
DVP,290,1.2,9.1,8.09,0.37,45.95,158.41,302,1.1,7.9,8.37,0.44,44.29,251.4,0
DVP,339,1.6,9.2,8.41,0.41,45.48,186.51,290,1.2,9.1,8.09,0.37,45.95,158.41,0
DXG,336,1.4,0.9,61.03,0.12,-6.02,-5.48,2588,1.1,1.4,53.58,0.29,32.44,-15.45,0
DXG,2984,2.4,1.1,52.64,0.36,15.81,8.24,336,1.4,0.9,61.03,0.12,-6.02,-5.48,0
DXV,0,0.3,3.7,16.67,1.41,0,-45.45,-7,0.3,3.1,20.14,1.79,-2.81,21.43,1
DXV,2,0.8,4.7,14.62,1.49,0,-36.84,0,0.3,3.7,16.67,1.41,0,-45.45,1
ELC,45,0.6,1.5,43.06,0.54,3.87,41.09,41,0.4,1.6,41.76,0.62,3.54,8.98,0
ELC,63,1.5,2.8,24.19,0.58,7.59,-35.02,45,0.6,1.5,43.06,0.54,3.87,41.09,0
EMC,9,1.8,0.6,64.85,1.36,0.32,4.04,7,1.3,0.4,53.22,1.24,0.24,-19.78,0
EMC,11,1.6,0.6,77.9,0.84,0.48,-22.49,9,1.8,0.6,64.85,1.36,0.32,4.04,0
EVE,70,0.5,4.9,30.23,0.63,4.91,38.39,108,0.4,3.5,38.95,0.65,7.17,8.51,0
EVE,96,0.7,2.3,24.03,0.68,6.93,-17.38,70,0.5,4.9,30.23,0.63,4.91,38.39,0
EVG,25,1.9,1.3,27.79,0.75,2.47,18.53,25,0.4,1.8,14.61,0.69,3.08,7.26,0
EVG,30,3,3.3,22.86,0.48,2.48,-73.28,25,1.9,1.3,27.79,0.75,2.47,18.53,0
FCM,46,0.5,2,30.25,0.71,4.9,23.67,74,0.5,1.4,37.09,0.83,6.26,48.51,0
FCM,26,1,2.1,29.9,0.74,2.17,22.41,46,0.5,2,30.25,0.71,4.9,23.67,0
FCN,264,0.9,1.2,63.08,0.47,4.25,2.08,360,0.6,1.4,56.53,0.55,6.86,-0.91,0
FCN,256,1.6,1,60.93,0.46,2.04,-2.41,264,0.9,1.2,63.08,0.47,4.25,2.08,0
FDC,-14,0.9,1,40.61,0.19,-13.68,0.25,80,1.1,1,35.82,0.47,14.8,-15.54,0
FDC,23,1,3.6,20.12,0.23,4.84,6.17,-14,0.9,1,40.61,0.19,-13.68,0.25,0
